Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	626	394	0	0	111	0
1	579	367	0	0	106	0
2	531	341	0	0	139	0
3	477	312	0	0	132	0
4	444	290	0	0	117	0
5	408	276	0	0	137	0
6	365	241	0	0	154	0
7	379	247	0	0	122	0
8	307	211	0	0	171	0
9	350	223	0	0	85	0
10	297	205	0	0	114	0
11	276	188	0	0	81	0
12	291	198	0	0	100	0
13	233	163	0	0	137	0
14	231	152	0	0	178	0
15	214	143	0	0	117	0
16	235	143	0	0	148	0
17	221	149	0	0	108	0
18	226	160	0	0	125	0
19	216	134	0	0	131	0
20	260	180	0	0	101	0
