ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-500.7108776219292	-500.7108776219292	-500.7108776219292	-500.7108776219292
1	-491.65163680738976	-502.5631857421021	-496.1812499047181	-489.79931406733374
2	-487.3430517325984	-511.4343293297532	-494.4090529146123	-476.1635394716646
3	-471.66718987370353	-522.6984184892322	-492.0374964361274	-458.8937098193679
4	-471.1068477842433	-538.3580300527726	-493.07802517900683	-442.96176974292206
5	-447.9767125518135	-542.4450834148283	-490.5540409605742	-435.0378893296389
6	-451.1151558202793	-552.3581734657042	-489.96192216209863	-422.83343200936736
7	-435.414914871313	-552.5247253545134	-488.33032000931433	-418.75033907919766
8	-450.15670963124353	-565.3205881840049	-489.5353167359258	-407.43950763668977
9	-432.90770272058967	-567.477410551808	-491.00272789994517	-405.8740885979049
10	-415.86714541276126	-568.7477891691416	-487.77544316789186	-400.5579350492558
11	-399.74694366744507	-568.0465786945714	-479.9469544076902	-385.3752754682374
12	-407.3644891105303	-568.6857991392911	-475.8876989345742	-378.7244304277753
13	-413.98209096138913	-575.2668691421651	-475.33863456422233	-374.82688512441285
14	-425.3040180369796	-590.7952548673304	-477.39009542189683	-372.87155026746115
15	-411.5897837287325	-586.197434736633	-475.69557245236354	-372.8388969058394
16	-424.9068017808779	-588.5900730231152	-476.298888258823	-372.1679473737756
17	-396.6642910709926	-582.0202011160717	-468.8160479201653	-368.33932619320444
18	-399.3520883731538	-582.1689510262346	-461.5888040586079	-361.10321522815315
19	-409.8239577801062	-568.3985153411187	-457.6916501760253	-358.52705783954224
20	-407.47120406306715	-559.3975784800282	-450.89270448377806	-353.598298832021
