Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	10:45:32	10:45:32	10:45:32			10:45:32	10:45:32	10:45:33	10:45:33	10:45:33	10:45:34	10:45:34	10:46:05	10:46:05	10:46:05	10:46:05	10:46:05	10:46:05			10:46:06	10:46:06		00:00:00		00:00:00	00:00:00	00:00:00	00:00:31	00:00:00	00:00:00		00:00:01	00:00:33
1	10:46:06	10:46:06	10:46:06	10:46:06	10:46:33	10:46:33	10:46:33	10:46:35	10:46:35	10:46:35	10:46:36	10:46:36	10:46:56	10:46:56	10:46:56	10:46:56	10:46:56	10:46:56			10:46:56	10:46:56		00:00:00	00:00:26	00:00:02	00:00:02	00:00:01	00:00:19	00:00:00	00:00:00		00:00:00	00:00:50
2	10:46:57	10:46:57	10:46:57	10:46:57	10:47:16	10:47:16			10:47:16	10:47:16	10:47:16	10:47:16	10:47:35	10:47:35	10:47:35	10:47:35	10:47:35	10:47:35			10:47:36	10:47:36		00:00:00	00:00:19		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:00	00:00:39
3	10:47:36	10:47:36	10:47:36	10:47:36	10:48:05	10:48:05			10:48:05	10:48:05	10:48:06	10:48:06	10:48:28	10:48:28	10:48:28	10:48:28	10:48:28	10:48:28			10:48:29	10:48:29		00:00:00	00:00:29		00:00:00	00:00:01	00:00:21	00:00:00	00:00:00		00:00:00	00:00:53
4	10:48:29	10:48:29	10:48:29	10:48:29	10:49:08	10:49:08			10:49:08	10:49:08	10:49:08	10:49:08	10:49:28	10:49:28	10:49:28	10:49:28	10:49:28	10:49:28			10:49:29	10:49:29		00:00:00	00:00:39		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:00	00:00:59
5	10:49:29	10:49:29	10:49:29	10:49:29	10:50:00	10:50:00			10:50:00	10:50:00	10:50:00	10:50:00	10:50:18	10:50:18	10:50:18	10:50:18	10:50:18	10:50:18			10:50:19	10:50:19		00:00:00	00:00:30		00:00:00	00:00:00	00:00:17	00:00:00	00:00:00		00:00:00	00:00:49
6	10:50:19	10:50:19	10:50:19	10:50:19	10:50:53	10:50:53			10:50:53	10:50:53	10:50:54	10:50:54	10:51:14	10:51:14	10:51:14	10:51:14	10:51:14	10:51:14			10:51:15	10:51:15		00:00:00	00:00:33		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:00	00:00:55
7	10:51:15	10:51:15	10:51:15	10:51:15	10:51:44	10:51:44			10:51:44	10:51:44	10:51:45	10:51:45	10:52:07	10:52:07	10:52:07	10:52:07	10:52:07	10:52:07			10:52:08	10:52:08		00:00:00	00:00:29		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:01	00:00:53
8	10:52:08	10:52:08	10:52:08	10:52:08	10:52:29	10:52:29			10:52:29	10:52:29	10:52:30	10:52:30	10:52:50	10:52:50	10:52:50	10:52:50	10:52:50	10:52:50			10:52:51	10:52:51		00:00:00	00:00:21		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:00	00:00:42
9	10:52:51	10:52:51	10:52:51	10:52:51	10:53:07	10:53:07			10:53:07	10:53:07	10:53:07	10:53:07	10:53:26	10:53:26	10:53:26	10:53:26	10:53:26	10:53:26			10:53:26	10:53:26		00:00:00	00:00:16		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:00	00:00:35
